#bfield(Gauss)	a12	a13	a23(a0)
1535	-2399.2	-2200.7	-2314.2
1536	-2398.6	-2200.6	-2313.8
1537	-2397.9	-2200.4	-2313.3
1538	-2397.3	-2200.2	-2312.9
1539	-2396.6	-2200.0	-2312.4
1540	-2396.0	-2199.8	-2311.9
1541	-2395.3	-2199.7	-2311.5
1542	-2394.7	-2199.5	-2311.1
1543	-2394.1	-2199.3	-2310.6
1544	-2393.4	-2199.1	-2310.2
1545	-2392.8	-2198.9	-2309.7
1546	-2392.2	-2198.8	-2309.3
1547	-2391.6	-2198.6	-2308.8
1548	-2390.9	-2198.4	-2308.4
1549	-2390.3	-2198.2	-2308.0
1550	-2389.7	-2198.1	-2307.5
1551	-2389.1	-2197.9	-2307.1
1552	-2388.5	-2197.7	-2306.7
1553	-2387.8	-2197.5	-2306.2
1554	-2387.2	-2197.4	-2305.8
1555	-2386.6	-2197.2	-2305.4
1556	-2386.0	-2197.0	-2304.9
1557	-2385.4	-2196.8	-2304.5
1558	-2384.8	-2196.7	-2304.1
1559	-2384.2	-2196.5	-2303.7
1560	-2383.6	-2196.3	-2303.2
1561	-2383.0	-2196.2	-2302.8
1562	-2382.4	-2196.0	-2302.4
1563	-2381.8	-2195.8	-2302.0
1564	-2381.2	-2195.7	-2301.6
1565	-2380.6	-2195.5	-2301.1
1566	-2380.0	-2195.3	-2300.7
1567	-2379.5	-2195.1	-2300.3
1568	-2378.9	-2195.0	-2299.9
1569	-2378.3	-2194.8	-2299.5
1570	-2377.7	-2194.6	-2299.1
1571	-2377.1	-2194.5	-2298.7
1572	-2376.6	-2194.3	-2298.3
1573	-2376.0	-2194.2	-2297.9
1574	-2375.4	-2194.0	-2297.5
1575	-2374.8	-2193.8	-2297.1
1576	-2374.3	-2193.7	-2296.7
1577	-2373.7	-2193.5	-2296.3
1578	-2373.1	-2193.3	-2295.9
1579	-2372.6	-2193.2	-2295.5
1580	-2372.0	-2193.0	-2295.1
1581	-2371.4	-2192.9	-2294.7
1582	-2370.9	-2192.7	-2294.3
1583	-2370.3	-2192.5	-2293.9
1584	-2369.8	-2192.4	-2293.5
1585	-2369.2	-2192.2	-2293.1
1586	-2368.7	-2192.1	-2292.7
1587	-2368.1	-2191.9	-2292.3
1588	-2367.6	-2191.7	-2291.9
1589	-2367.0	-2191.6	-2291.6
1590	-2366.5	-2191.4	-2291.2
1591	-2365.9	-2191.3	-2290.8
1592	-2365.4	-2191.1	-2290.4
1593	-2364.8	-2191.0	-2290.0
1594	-2364.3	-2190.8	-2289.6
1595	-2363.8	-2190.7	-2289.3
1596	-2363.2	-2190.5	-2288.9
1597	-2362.7	-2190.3	-2288.5
1598	-2362.2	-2190.2	-2288.1
1599	-2361.6	-2190.0	-2287.8
1600	-2361.1	-2189.9	-2287.4
1601	-2360.6	-2189.7	-2287.0
1602	-2360.1	-2189.6	-2286.6
1603	-2359.5	-2189.4	-2286.3
1604	-2359.0	-2189.3	-2285.9
1605	-2358.5	-2189.1	-2285.5
1606	-2358.0	-2189.0	-2285.2
1607	-2357.5	-2188.8	-2284.8
1608	-2356.9	-2188.7	-2284.4
1609	-2356.4	-2188.5	-2284.1
1610	-2355.9	-2188.4	-2283.7
1611	-2355.4	-2188.2	-2283.4
1612	-2354.9	-2188.1	-2283.0
1613	-2354.4	-2188.0	-2282.6
1614	-2353.9	-2187.8	-2282.3
1615	-2353.4	-2187.7	-2281.9
1616	-2352.9	-2187.5	-2281.6
1617	-2352.4	-2187.4	-2281.2
1618	-2351.9	-2187.2	-2280.9
1619	-2351.4	-2187.1	-2280.5
1620	-2350.9	-2186.9	-2280.2
1621	-2350.4	-2186.8	-2279.8
1622	-2349.9	-2186.6	-2279.5
1623	-2349.4	-2186.5	-2279.1
1624	-2348.9	-2186.4	-2278.8
