#bfield(Gauss)	arice(a0)
626.	470.96153846153857
627.	480.8695652173913
628.	490.8737864077668
629.	500.97560975609764
630.	511.17647058823525
631.	521.4778325123152
632.	531.881188118812
633.	542.3880597014924
634.	553.0000000000001
635.	563.7185929648243
636.	574.5454545454547
637.	585.482233502538
638.	596.5306122448977
639.	607.6923076923076
640.	618.9690721649483
641.	630.3626943005182
642.	641.875
643.	653.5078534031414
644.	665.2631578947368
645.	677.1428571428569
646.	689.1489361702128
647.	701.283422459893
648.	713.5483870967743
649.	725.9459459459463
650.	738.478260869565
651.	751.1475409836067
652.	763.956043956044
653.	776.9060773480662
654.	790.
655.	803.2402234636872
656.	816.6292134831459
657.	830.1694915254236
658.	843.8636363636365
659.	857.7142857142858
660.	871.7241379310344
661.	885.8959537572255
662.	900.2325581395347
663.	914.7368421052632
664.	929.4117647058822
665.	944.2603550295858
666.	959.285714285714
667.	974.491017964072
668.	989.8795180722892
669.	1005.4545454545456
670.	1021.2195121951222
671.	1037.1779141104294
672.	1053.333333333333
673.	1069.6894409937886
674.	1086.25
675.	1103.0188679245284
676.	1120.
677.	1137.1974522292994
678.	1154.6153846153843
679.	1172.258064516129
680.	1190.1298701298701
681.	1208.235294117647
682.	1226.5789473684208
683.	1245.1655629139073
684.	1264.
685.	1283.0872483221476
686.	1302.4324324324325
687.	1322.0408163265306
688.	1341.917808219178
689.	1362.0689655172414
690.	1382.5
691.	1403.2167832167831
692.	1424.2253521126763
693.	1445.5319148936169
694.	1467.142857142857
695.	1489.064748201439
696.	1511.304347826087
697.	1533.8686131386862
698.	1556.764705882353
699.	1580.
700.	1603.5820895522386
701.	1627.518796992481
702.	1651.8181818181818
703.	1676.4885496183208
704.	1701.538461538462
705.	1726.9767441860467
706.	1752.8125
707.	1779.055118110236
708.	1805.7142857142856
709.	1832.8000000000002
710.	1860.322580645161
711.	1888.2926829268295
712.	1916.72131147541
713.	1945.619834710744
714.	1975.
715.	2004.8739495798318
716.	2035.2542372881358
717.	2066.1538461538466
718.	2097.5862068965516
719.	2129.5652173913045
720.	2162.1052631578946
721.	2195.2212389380534
722.	2228.928571428571
723.	2263.2432432432433
724.	2298.1818181818185
725.	2333.7614678899085
726.	2370.
727.	2406.915887850467
728.	2444.5283018867926
729.	2482.857142857143
730.	2521.923076923077
731.	2561.7475728155337
732.	2602.3529411764703
733.	2643.762376237624
734.	2686.0000000000005
735.	2729.0909090909095
736.	2773.0612244897957
737.	2817.9381443298967
738.	2863.75
739.	2910.5263157894738
740.	2958.297872340426
741.	3007.0967741935483
742.	3056.95652173913
743.	3107.9120879120883
744.	3160.
745.	3213.258426966292
746.	3267.727272727273
747.	3323.448275862069
748.	3380.4651162790697
749.	3438.8235294117644
750.	3498.571428571428
751.	3559.759036144578
752.	3622.4390243902444
753.	3686.666666666666
754.	3752.5
755.	3820.
756.	3889.2307692307686
757.	3960.2597402597403
758.	4033.1578947368416
759.	4108.
760.	4184.864864864865
761.	4263.835616438356
762.	4345.
763.	4428.450704225353
764.	4514.285714285715
765.	4602.608695652174
766.	4693.529411764706
767.	4787.164179104477
768.	4883.636363636363
769.	4983.076923076924
770.	5085.625
771.	5191.428571428572
772.	5300.645161290322
773.	5413.44262295082
774.	5530.
775.	5650.5084745762715
776.	5775.172413793103
777.	5904.210526315789
778.	6037.857142857142
779.	6176.363636363637
780.	6320.
781.	6469.056603773585
782.	6623.846153846154
783.	6784.7058823529405
784.	6952.000000000001
785.	7126.122448979591
786.	7307.5
787.	7496.595744680852
788.	7693.91304347826
789.	7900.
790.	8115.454545454546
791.	8340.93023255814
792.	8577.142857142857
793.	8824.878048780489
794.	9085.
795.	9358.461538461537
796.	9646.315789473683
797.	9949.72972972973
798.	10270.
799.	10608.57142857143
800.	10967.058823529413
801.	11347.272727272726
802.	11751.25
803.	12181.290322580644
804.	12640.
805.	13130.344827586207
806.	13655.714285714284
807.	14220.
808.	14827.692307692309
809.	15484.000000000002
810.	16195.
811.	16967.82608695652
812.	17810.909090909092
813.	18734.285714285714
814.	19750.
815.	20872.631578947367
816.	22120.
817.	23514.117647058825
818.	25082.5
819.	26860.
820.	28891.42857142857
821.	31235.384615384617
822.	33970.
823.	37201.818181818184
824.	41080.
825.	45820.
826.	51745.
827.	59362.85714285714
828.	69520.
829.	83740.
830.	105070.
