#fcpow	depth(uK)	freqAx(Hz)	freqRd(Hz)	freqRdZ(Hz)
3.8200000000000003	186.62941074512557	540.0745035988855	4100.006619290135	4135.3847276284805
3.84	187.6065280788697	541.486465494955	4110.72560913597	4146.196209418659
3.86	188.5836454126138	542.8947551697803	4121.416721103273	4156.979572777865
3.88	189.56076274635788	544.2994011272585	4132.0801715810185	4167.735035962245
3.9	190.537880080102	545.700431504437	4142.716174173218	4178.462814418958
3.92	191.51499741384615	547.0978740780897	4153.324939748845	4189.163120836521
3.94	192.49211474759025	548.4917562711421	4163.906676490616	4199.836165194013
3.96	193.46923208133433	549.8821051589499	4174.461589942646	4210.482154809154
3.98	194.44634941507846	551.268947475436	4184.989883057049	4221.101294385283
4.	195.4234667488226	552.6523096190874	4195.491756239454	4231.693786057292
4.0200000000000005	196.40058408256672	554.0322176588184	4205.967407393523	4242.25982943651
4.04	197.3777014163108	555.408697339702	4216.417031964456	4252.7996216545935
4.0600000000000005	198.35481875005496	556.7817740885754	4226.840822981547	4263.313357406448
4.08	199.33193608379906	558.1514730195181	4237.238971099776	4273.8012289921735
4.1	200.3090534175431	559.5178189392134	4247.611664640501	4284.263426358117
4.12	201.28617075128724	560.8808363521889	4257.959089631254	4294.700137137001
4.14	202.26328808503138	562.2405494659448	4268.28142984466	4305.111546687188
4.16	203.24040541877548	563.5969821959696	4278.5788668365285	4315.497838131092
4.18	204.21752275251956	564.9501581706484	4288.8515799830975	4325.859192392756
4.2	205.19464008626372	566.3001007360648	4299.099746517506	4336.195788234624
4.22	206.1717574200078	567.6468329607007	4309.323541565456	4346.507802293522
4.24	207.14887475375195	568.9903776400356	4319.523138180141	4356.795409115885
4.26	208.125992087496	570.3307573010479	4329.698707376411	4367.058781192214
4.28	209.1031094212402	571.6679942066229	4339.850418164242	4377.298088990834
4.3	210.08022675498427	573.0021103598659	4349.978437581469	4387.513500990918
4.32	211.0573440887284	574.3331275083273	4360.082930725868	4397.705183714839
4.34	212.03446142247253	575.6610671481382	4370.164060786557	4407.873301759834
4.36	213.01157875621664	576.9859505280607	4380.221989074733	4418.018017829027
4.38	213.98869608996068	578.307798653456	4390.256875053802	4428.139492761797
4.4	214.96581342370487	579.626632290169	4400.268876368869	4438.237885563536
4.42	215.94293075744892	580.9424719683346	4410.2581488756305	4448.313353434789
4.44	216.92004809119308	582.2553379861072	4420.224846668694	4458.366051799812
